지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수
서울,1992,대선,진보정당,보수정당,2,0.3775,1,0.3641,1,1,3,2
부산,1992,대선,보수정당,진보정당,1,0.7334,2,0.1253,1,1,3,2
대구,1992,대선,보수정당,그외정당,1,0.596,3,0.194,1,1,3,2
인천,1992,대선,보수정당,진보정당,1,0.3727,2,0.3175,1,1,3,2
광주,1992,대선,진보정당,보수정당,2,0.9585,1,0.0213,1,1,3,2
대전,1992,대선,보수정당,진보정당,1,0.3519,2,0.2874,1,1,3,2
경기,1992,대선,보수정당,진보정당,1,0.3633,2,0.3197,1,1,3,2
강원,1992,대선,보수정당,그외정당,1,0.4151,3,0.3409,1,1,3,2
충북,1992,대선,보수정당,진보정당,1,0.3826,2,0.2605,1,1,3,2
충남,1992,대선,보수정당,진보정당,1,0.3694,2,0.2855,1,1,3,2
전북,1992,대선,진보정당,보수정당,2,0.8913,1,0.0568,1,1,3,2
전남,1992,대선,진보정당,보수정당,2,0.9216,1,0.042,1,1,3,2
경북,1992,대선,보수정당,그외정당,1,0.6473,3,0.1571,1,1,3,2
경남,1992,대선,보수정당,그외정당,1,0.7232,3,0.1152,1,1,3,2
제주,1992,대선,보수정당,진보정당,1,0.3998,2,0.3292,1,1,3,2
서울,1997,대선,진보정당,보수정당,2,0.4487,1,0.4089,1,1,5,0
부산,1997,대선,보수정당,그외정당,1,0.5334,3,0.2978,1,1,5,0
대구,1997,대선,보수정당,그외정당,1,0.7265,3,0.1307,1,1,5,0
인천,1997,대선,진보정당,보수정당,2,0.3851,1,0.364,1,1,5,0
광주,1997,대선,진보정당,보수정당,2,0.9729,1,0.0171,1,1,5,0
대전,1997,대선,진보정당,보수정당,2,0.4503,1,0.2918,1,1,5,0
울산,1997,대선,보수정당,그외정당,1,0.5136,3,0.267,1,1,5,0
경기,1997,대선,진보정당,보수정당,2,0.3928,1,0.3554,1,1,5,0
강원,1997,대선,보수정당,그외정당,1,0.4319,3,0.3095,1,1,5,0
충북,1997,대선,진보정당,보수정당,2,0.3743,1,0.3079,1,1,5,0
충남,1997,대선,진보정당,그외정당,2,0.4825,3,0.2615,1,1,5,0
전북,1997,대선,진보정당,보수정당,2,0.9228,1,0.0454,1,1,5,0
전남,1997,대선,진보정당,보수정당,2,0.9461,1,0.0319,1,1,5,0
경북,1997,대선,보수정당,그외정당,1,0.6192,3,0.2176,1,1,5,0
경남,1997,대선,보수정당,그외정당,1,0.5515,3,0.313,1,1,5,0
제주,1997,대선,진보정당,보수정당,2,0.4058,1,0.3659,1,1,5,0
서울,2002,대선,진보정당,보수정당,2,0.513,1,0.4496,1,1,4,0
부산,2002,대선,보수정당,진보정당,1,0.6675,2,0.2986,1,1,4,0
